,STATIONNAME,LAT,LONG,STATIONTYPE,ZONE,BOROUGH
86,Golders Green,51.5723,-0.194,Outer Suburb,3.0,Barnet
87,Goldhawk Road,51.502,-0.2267,Inner Suburb,2.0,Hammersmith & Fulham
88,Goodge Street,51.5205,-0.1346,Shopping,1.0,Camden
89,Grange Hill,51.6134,0.0921,Outer Suburb,4.0,Essex
90,Great Portland Street,51.5238,-0.1439,Tourist,1.0,City of Westminster
91,Green Park,51.5069,-0.1429,Tourist,1.0,City of Westminster
92,Greenford,51.5424,-0.3464,Outer Suburb,4.0,Ealing
93,Gunnersbury,51.4919,-0.2751,Outer Suburb,3.0,Hounslow
94,Hainault,51.6038,0.0931,Outer Suburb,4.0,Redbridge
95,Hammersmith C&H,51.4926,-0.2224,Inner Suburb,2.0,Hammersmith & Fulham
96,Hammersmith D&P,51.4936,-0.2249,Inner Suburb,2.0,Hammersmith & Fulham
97,Hampstead,51.5568,-0.1782,Inner Suburb,2.5,Camden
98,Hanger Lane,51.5301,-0.293,Outer Suburb,3.0,Ealing
99,Harlesden,51.5363,-0.2575,Outer Suburb,3.0,Brent
100,Harrow & Wealdstone,51.5923,-0.3352,Outer Suburb,5.0,Harrow
101,Harrow-on-the-Hill,51.5794,-0.337,Outer Suburb,5.0,Harrow
102,Hatton Cross,51.4667,-0.4234,Outer Suburb,5.5,Hillingdon
103,Heathrow Terminal 4,51.4713,-0.4524,Airport,6.0,Hillingdon
104,Heathrow Terminal 5,51.4716,-0.4879,Airport,6.0,Hillingdon
105,Heathrow Terminals 2&3,51.4586,-0.446,Airport,6.0,Hillingdon
106,Hendon Central,51.5834,-0.2265,Outer Suburb,3.5,Barnet
107,High Barnet,51.6507,-0.1947,Outer Suburb,5.0,Barnet
108,High Street Kensington,51.5007,-0.1925,Shopping,1.0,Kensington & Chelsea
109,Highbury & Islington,51.5463,-0.1039,Inner Suburb,2.0,Islington
110,Highgate,51.5777,-0.1466,Outer Suburb,3.0,Haringey
111,Hillingdon,51.5538,-0.4499,Outer Suburb,6.0,Hillingdon
112,Holborn,51.5175,-0.12,City,1.0,Camden
113,Holland Park,51.5074,-0.2057,Inner Suburb,2.0,Kensington & Chelsea
114,Holloway Road,51.5528,-0.1129,Inner Suburb,2.0,Islington
115,Hornchurch,51.5541,0.219,Outer Suburb,6.0,Havering
116,Hounslow Central,51.4712,-0.3669,Outer Suburb,4.0,Hounslow
117,Hounslow East,51.4732,-0.3566,Outer Suburb,4.0,Hounslow
118,Hounslow West,51.4731,-0.3857,Outer Suburb,5.0,Hounslow
119,Hyde Park Corner,51.5028,-0.1527,Tourist,1.0,City of Westminster
120,Ickenham,51.562,-0.442,Outer Suburb,6.0,Hillingdon
121,Kennington,51.4882,-0.1055,Inner Suburb,2.0,Southwark
122,Kensal Green,51.5305,-0.2247,Inner Suburb,2.0,Brent
123,Kentish Town,51.5504,-0.1405,Inner Suburb,2.0,Camden
124,Kenton,51.5818,-0.3171,Outer Suburb,4.0,Brent
125,Kew Gardens,51.4771,-0.2852,Outer Suburb,3.5,Richmond upon Thames
126,Kilburn,51.5469,-0.2046,Inner Suburb,2.0,Brent
127,Kilburn Park,51.5351,-0.1939,Inner Suburb,2.0,Brent
128,Kings Cross (North),51.5305,-0.1238,Terminus,1.0,Camden
129,Kings Cross (Tube),51.5305,-0.1238,Terminus,1.0,Camden
130,Kings Cross (Western),51.5305,-0.1238,Terminus,1.0,Camden
131,Kingsbury,51.5848,-0.2788,Outer Suburb,4.0,Brent
132,Knightsbridge,51.5016,-0.1605,Shopping,1.0,Kensington & Chelsea
133,Ladbroke Grove,51.5173,-0.2108,Inner Suburb,2.0,Kensington & Chelsea
134,Lambeth North,51.4991,-0.1117,Inner Suburb,1.0,Lambeth
135,Lancaster Gate,51.5119,-0.1754,Tourist,1.0,City of Westminster
136,Latimer Road,51.5136,-0.2177,Inner Suburb,2.0,Kensington & Chelsea
137,Leicester Square,51.5113,-0.1282,Tourist,1.0,City of Westminster
138,Leyton,51.5565,-0.0056,Outer Suburb,3.0,Waltham Forest
139,Leytonstone,51.5683,0.0082,Outer Suburb,3.5,Waltham Forest
140,Liverpool Street,51.5174,-0.083,Terminus,1.0,City of London
141,London Bridge,51.5056,-0.0869,Terminus,1.0,Southwark
142,Loughton,51.6416,0.0553,Outer Suburb,6.0,Essex
143,Maida Vale,51.5298,-0.1856,Inner Suburb,2.0,City of Westminster
144,Manor House,51.5708,-0.0957,Inner Suburb,2.5,Hackney
145,Mansion House,51.5121,-0.0942,City,1.0,City of London
146,Marble Arch,51.5136,-0.1584,Shopping,1.0,City of Westminster
147,Marylebone,51.5223,-0.1631,Terminus,1.0,City of Westminster
148,Mile End,51.5252,-0.0334,Inner Suburb,2.0,Tower Hamlets
149,Mill Hill East,51.6083,-0.2099,Outer Suburb,4.0,Barnet
150,Monument,51.5134,-0.0889,City,1.0,City of London
151,Moor Park,51.6298,-0.4326,Outer Suburb,6.5,Hertfordshire
152,Moorgate,51.5184,-0.089,Terminus,1.0,City of London
153,Morden,51.4024,-0.1948,Outer Suburb,4.0,Merton
154,Mornington Crescent,51.5343,-0.1388,Inner Suburb,2.0,Camden
155,Neasden,51.554,-0.2498,Outer Suburb,3.0,Brent
156,Newbury Park,51.5756,0.0903,Outer Suburb,4.0,Redbridge
157,North Acton,51.5234,-0.2597,Inner Suburb,2.5,Ealing
158,North Ealing,51.5176,-0.289,Outer Suburb,3.0,Ealing
159,North Greenwich,51.5003,0.0036,Inner Suburb,2.5,Greenwich
160,North Harrow,51.5849,-0.3622,Outer Suburb,5.0,Harrow
161,North Wembley,51.5625,-0.3041,Outer Suburb,4.0,Brent
162,Northfields,51.4993,-0.3141,Outer Suburb,3.0,Ealing
163,Northolt,51.5482,-0.3684,Outer Suburb,5.0,Ealing
164,Northwick Park,51.5787,-0.3182,Outer Suburb,4.0,Brent
165,Northwood,51.6112,-0.4238,Outer Suburb,6.0,Hillingdon
166,Northwood Hills,51.6005,-0.4093,Outer Suburb,6.0,Hillingdon
167,Notting Hill Gate,51.5091,-0.1965,Inner Suburb,1.5,Kensington & Chelsea
168,Oakwood,51.6476,-0.1318,Outer Suburb,5.0,Enfield
169,Old Street,51.5257,-0.0875,City,1.0,Islington
170,Osterley,51.481,-0.352,Outer Suburb,4.0,Hounslow
171,Oval,51.4822,-0.1129,Inner Suburb,2.0,Lambeth
172,Oxford Circus,51.5152,-0.1418,Shopping,1.0,City of Westminster
173,Paddington,51.5154,-0.1754,Terminus,1.0,City of Westminster
174,Park Royal,51.527,-0.2842,Outer Suburb,3.0,Ealing
175,Parsons Green,51.4752,-0.2012,Inner Suburb,2.0,Hammersmith & Fulham
176,Perivale,51.5367,-0.3238,Outer Suburb,4.0,Ealing
177,Piccadilly Circus,51.5101,-0.134,Tourist,1.0,City of Westminster
178,Pimlico,51.4893,-0.1337,Outer Suburb,1.0,City of Westminster
179,Pinner,51.5929,-0.3809,Outer Suburb,5.0,Harrow
180,Plaistow,51.5313,0.0178,Outer Suburb,3.0,Newham
181,Preston Road,51.5721,-0.2952,Outer Suburb,4.0,Brent
182,Putney Bridge,51.468,-0.2089,Inner Suburb,2.0,Hammersmith & Fulham
183,Queens Park,51.5342,-0.2047,Inner Suburb,2.0,Brent
184,Queensbury,51.5944,-0.2858,Inner Suburb,4.0,Brent
185,Queensway,51.5105,-0.1874,Tourist,1.0,City of Westminster
186,Ravenscourt Park,51.4942,-0.2362,Inner Suburb,2.0,Hammersmith & Fulham
187,Rayners Lane,51.575,-0.371,Outer Suburb,5.0,Harrow
188,Redbridge,51.5764,0.0454,Outer Suburb,4.0,Redbridge
189,Regents Park,51.5236,-0.1468,Tourist,1.0,City of Westminster
190,Rickmansworth,51.6403,-0.4737,Outer Suburb,7.0,Hertfordshire
191,Roding Valley,51.6172,0.0439,Outer Suburb,4.0,Essex
192,Royal Oak,51.5191,-0.1882,Inner Suburb,2.0,City of Westminster
193,Ruislip,51.5715,-0.4214,Outer Suburb,6.0,Hillingdon
194,Ruislip Gardens,51.5607,-0.411,Outer Suburb,5.0,Hillingdon
195,Ruislip Manor,51.5732,-0.4123,Outer Suburb,6.0,Hillingdon
196,Russell Square,51.523,-0.1243,Tourist,1.0,Camden
197,Seven Sisters,51.5834,-0.0725,Outer Suburb,3.0,Haringey
198,Shepherds Bush,51.5045,-0.2187,Shopping,2.0,Hammersmith & Fulham
199,Shepherds Bush Market,51.5056,-0.2263,Inner Suburb,2.0,Hammersmith & Fulham
200,Sloane Square,51.4924,-0.1565,Shopping,1.0,Kensington & Chelsea
201,Snaresbrook,51.5809,0.0215,Outer Suburb,4.0,Redbridge
202,South Ealing,51.5014,-0.307,Outer Suburb,3.0,Ealing
203,South Harrow,51.5647,-0.3522,Outer Suburb,5.0,Harrow
204,South Kensington,51.4941,-0.1739,Tourist,1.0,Kensington & Chelsea
205,South Kenton,51.5702,-0.3086,Outer Suburb,4.0,Brent
206,South Ruislip,51.5566,-0.3986,Outer Suburb,5.0,Hillingdon
207,South Wimbledon,51.4154,-0.1919,Outer Suburb,3.5,Merton
208,South Woodford,51.5918,0.0273,Outer Suburb,4.0,Redbridge
209,Southfields,51.445,-0.2065,Outer Suburb,3.0,Wandsworth
210,Southgate,51.6324,-0.1277,Outer Suburb,4.0,Enfield
211,Southwark,51.5039,-0.1051,Inner Suburb,1.0,Southwark
